,ticker,total_predictions,total_correct_predicions,overall_success_rate,predicted_higher_correct,total_predicted_higher,predicted_higher_success_rate,average_act_vs_pred_diff,median_act_vs_pred_diff,sell_vs_pred
21,XLRE,29,23,0.7931034482758621,22,22,1.0,0.0006833448227567644,-0.004233095536362831,-0.0017748753568030333
13,KO,29,22,0.7586206896551724,21,21,1.0,0.0008462544059575839,-1.5742825551580818e-05,0.00041525579020300156
24,XLP,29,23,0.7931034482758621,23,24,0.9583333333333334,5.702813803634425e-05,-0.010491862685943851,-0.005217417273953754
22,XLU,29,20,0.6896551724137931,20,21,0.9523809523809523,0.0007119778719868406,-0.004998659124822868,-0.002143340626418014
3,PAYX,29,25,0.8620689655172413,21,23,0.9130434782608695,-0.0003011022122885863,-0.0071466494563132135,-0.0037238758343009
7,CMI,29,23,0.7931034482758621,19,21,0.9047619047619048,0.00013145350659438904,-0.0082367393143621,-0.004052642903883855
9,PG,29,22,0.7586206896551724,18,20,0.9,-0.00017025576527001656,-0.004370820965429,-0.0022705383653495084
16,BFIN,29,26,0.896551724137931,17,19,0.8947368421052632,0.0008310424214010766,-0.008029376707350069,-0.003599167142974496
12,AMZN,29,26,0.896551724137931,6,7,0.8571428571428571,0.0008308719312964304,0.005063899641396255,0.0029473857863463425
25,XLV,29,19,0.6551724137931034,17,20,0.85,0.0011123873190855905,-0.008351603879591076,-0.0036196082802527427
17,XLK,29,27,0.9310344827586207,8,10,0.8,0.00040254168274133045,0.005937267353365831,0.003169904518053581
18,XLI,29,20,0.6896551724137931,15,19,0.7894736842105263,0.0003149867537610776,-0.00273992860477699,-0.0012124709255079563
8,MA,29,16,0.5517241379310345,15,19,0.7894736842105263,0.0006649077816451852,-0.0001671564660642881,0.00024887565779044854
4,SBUX,29,21,0.7241379310344828,17,22,0.7727272727272727,0.007578707610525595,0.0018061009995575896,0.0046924043050415925
2,DRI,29,19,0.6551724137931034,13,17,0.7647058823529411,0.001962963548051584,-0.007188085670076468,-0.002612561061012442
6,KR,29,21,0.7241379310344828,12,16,0.75,0.00026479638335714077,-0.0054542230845531624,-0.002594713350598011
23,XLB,29,18,0.6206896551724138,13,18,0.7222222222222222,0.00014589046476403336,0.0032675497240927586,0.001706720094428396
27,XLC,29,22,0.7586206896551724,10,14,0.7142857142857143,0.00021357093078622262,0.0070311384512290725,0.0036223546910076477
10,HPE,29,25,0.8620689655172413,7,10,0.7,0.0014933577408445377,-0.008813428712149178,-0.0036600354856523203
20,XLF,29,17,0.5862068965517241,15,22,0.6818181818181818,0.0013166169962413026,-0.003822798057758191,-0.0012530905307584442
15,JCI,29,19,0.6551724137931034,12,18,0.6666666666666666,0.0014593460138767147,0.004812428831354278,0.003135887422615496
11,CAT,29,20,0.6896551724137931,12,18,0.6666666666666666,0.0013575270586934215,0.006878048447608248,0.004117787753150835
0,AAPL,29,21,0.7241379310344828,9,14,0.6428571428571429,0.0003095516136351849,0.006975133583747701,0.003642342598691443
5,VAC,29,20,0.6896551724137931,7,11,0.6363636363636364,0.0001853704038839685,-0.014715344168536692,-0.0072649868823263615
26,XLE,29,17,0.5862068965517241,7,11,0.6363636363636364,0.00013421638614146745,0.0012269412233515214,0.0006805788047464944
14,CSCO,29,16,0.5517241379310345,12,19,0.631578947368421,0.0015330600718311284,-0.0015901302951255004,-2.853511164718596e-05
19,XLY,29,20,0.6896551724137931,6,10,0.6,0.001062305448070095,-0.00021108821702255225,0.0004256086155237714
1,GOOG,29,23,0.7931034482758621,5,9,0.5555555555555556,0.0004389443915904488,-0.00719728298153128,-0.0033791692949704157
