,ticker,total_predictions,total_correct_predicions,overall_success_rate,predicted_higher_correct,total_predicted_higher,predicted_higher_success_rate,adj_sell_vs_pred_pct,latest_close,last_date_for_prediction,prediction_price,adj_prediction_price,adj_prediction_higher
47,NSC,36,33,0.9166666666666666,26,26,1.0,0.0020089600991008367,245.8000030517578,2024-09-13,241.4578810752961,241.9429603239898,False
21,XLRE,36,29,0.8055555555555556,29,30,0.9666666666666667,-0.004212348126974631,45.209999084472656,2024-09-13,42.14712165981254,41.96958331083145,False
33,ADP,36,23,0.6388888888888888,23,24,0.9583333333333334,1.9112099331396166e-05,277.510009765625,2024-09-13,270.4224024963379,270.42757083615584,False
39,CTBI,36,31,0.8611111111111112,20,21,0.9523809523809523,0.008637948491550357,48.599998474121094,2024-09-13,-188551.813208895,-190180.51405938188,False
6,KR,36,32,0.8888888888888888,17,18,0.9444444444444444,-0.0022034771888921174,55.90999984741211,2024-09-13,53.02200023651123,52.90516746848065,False
22,XLU,36,26,0.7222222222222222,26,28,0.9285714285714286,-9.307595737276381e-05,78.54000091552734,2024-09-13,75.52950077163968,75.52247079104546,False
16,BFIN,36,30,0.8333333333333334,18,20,0.9,-5.7725087564592845e-05,11.359999656677246,2024-09-13,11.369700021743775,11.369043704814436,True
24,XLP,36,25,0.6944444444444444,25,28,0.8928571428571429,-0.00035838712953216684,83.93000030517578,2024-09-13,80.58200012207031,80.55312057035461,False
37,CPB,36,23,0.6388888888888888,22,25,0.88,0.002414042318999363,51.09000015258789,2024-09-13,48.364918178446715,48.481673137684425,False
13,KO,36,23,0.6388888888888888,21,24,0.875,0.0016283138251388324,71.41000366210938,2024-09-13,69.88750022888183,70.00129901170891,False
48,SYY,36,22,0.6111111111111112,21,25,0.84,0.003947664990988934,76.5199966430664,2024-09-13,75.05950042724609,75.35581018932385,False
25,XLV,36,27,0.75,25,30,0.8333333333333334,-0.0011194382587470478,156.16000366210938,2024-09-13,151.936586660219,151.7665030322081,False
3,PAYX,36,25,0.6944444444444444,24,29,0.8275862068965517,-0.0036137409889914654,135.08999633789062,2024-09-13,127.25820014953614,126.79832197547047,False
7,CMI,36,25,0.6944444444444444,19,23,0.8260869565217391,0.002598747050550223,302.1300048828125,2024-09-13,301.12880279541014,301.91136038351044,False
9,PG,36,27,0.75,22,27,0.8148148148148148,0.0009753120868229462,174.0800018310547,2024-09-13,172.28364257202773,172.45167289099012,False
29,EA,36,25,0.6944444444444444,17,21,0.8095238095238095,0.0014076496159247808,145.8300018310547,2024-09-13,147.0570002746582,147.2640050046139,True
27,XLC,36,27,0.75,12,15,0.8,0.0007138741876424571,86.87000274658203,2024-09-13,84.5552825853784,84.61564441904491,False
41,PRU,36,25,0.6944444444444444,12,15,0.8,0.002119497294303405,116.26000213623047,2024-09-13,117.1416990661621,117.38998058038295,True
36,BAX,36,26,0.7222222222222222,24,30,0.8,-0.0009432902867875925,39.720001220703125,2024-09-13,37.147299461364746,37.11225877460245,False
12,AMZN,36,30,0.8333333333333334,11,14,0.7857142857142857,0.0024353340188063097,186.49000549316406,2024-09-13,170.29062133768255,170.70533588090987,False
8,MA,36,23,0.6388888888888888,21,27,0.7777777777777778,0.0016860438447094568,493.3599853515625,2024-09-13,486.1184901222861,486.9381072103563,False
