,ticker,total_predictions,total_correct_predicions,overall_success_rate,predicted_higher_correct,total_predicted_higher,predicted_higher_success_rate,adj_sell_vs_pred_pct,latest_close,last_date_for_prediction,prediction_price,adj_prediction_price,adj_prediction_higher,stop_loss 
22,XLU,39,32,0.8205128205128205,24,26,0.9230769230769231,-0.0008547500319544756,79.18000030517578,2024-11-08,80.25580047607421,80.18720182805276,True,-0.019342808792051656
21,XLRE,39,36,0.9230769230769231,21,23,0.9130434782608695,0.001691937432403513,43.90999984741211,2024-11-08,44.15100044250488,44.22570117283162,True,-0.025166555353677886
8,MA,39,29,0.7435897435897436,25,28,0.8928571428571429,0.002210271362408437,524.760009765625,2024-11-08,506.16850128173826,507.28727102467445,False,-0.02163903485923141
2,DRI,39,32,0.8205128205128205,23,26,0.8846153846153846,-2.614396532944291e-05,168.44000244140625,2024-11-08,159.46737670898438,159.46320759941653,False,-0.04063250286440421
6,KR,39,29,0.7435897435897436,23,26,0.8846153846153846,0.0012095938177494917,59.90999984741211,2024-11-08,55.77059928894043,55.83805906105251,False,-0.07142857671735973
3,PAYX,39,26,0.6666666666666666,21,24,0.875,0.0012672349753816558,148.57000732421875,2024-11-08,147223.38021234088,147409.9468289399,True,-0.0651384557984556
33,ADP,39,29,0.7435897435897436,25,29,0.8620689655172413,-0.0008352818192407905,304.7300109863281,2024-11-08,286.7317025756836,286.4922007975222,False,-0.028442416658233556
35,AXS,39,28,0.717948717948718,21,25,0.84,0.0011556365525322518,84.4800033569336,2024-11-08,82.32935909847365,82.4245019151944,False,-0.027909571557243877
15,JCI,39,31,0.7948717948717948,21,25,0.84,0.002245791324885965,84.62000274658203,2024-11-08,84.6187973022461,84.80883346314975,True,-0.05667967358065304
27,XLC,39,26,0.6666666666666666,21,25,0.84,0.0003516215820858301,96.18000030517578,2024-11-08,87.89347076416016,87.92437600540526,False,-0.021899546584122128
50,PLTR,39,26,0.6666666666666666,24,29,0.8275862068965517,0.0050272339007945,58.38999938964844,2024-11-08,41.84573840918334,42.056106723917765,False,-0.13471505756096194
14,CSCO,39,24,0.6153846153846154,17,21,0.8095238095238095,0.0025329400572232834,58.060001373291016,2024-11-08,54.23450469970703,54.37187744914459,False,-0.028269180837098864
28,NVDA,39,24,0.6153846153846154,17,21,0.8095238095238095,-0.00039313188771425466,147.6300048828125,2024-11-08,128.94389976501463,128.89320780629077,False,-0.10761929919609117
4,SBUX,39,30,0.7692307692307693,21,26,0.8076923076923077,0.001879354208976211,97.55000305175781,2024-11-08,96.5552003479004,96.73666177007276,False,-0.06847275959685042
47,NSC,39,30,0.7692307692307693,20,25,0.8,0.001123937877250179,271.6700134277344,2024-11-08,259.2561000061035,259.5474877568085,False,-0.03994599502021291
1,GOOG,39,26,0.6666666666666666,15,19,0.7894736842105263,-0.0021395232187096792,179.86000061035156,2024-11-08,170.3926654213577,170.02810635739087,False,-0.027713955861867038
26,XLE,39,32,0.8205128205128205,11,14,0.7857142857142857,-0.0017129480350081177,93.75,2024-11-08,90.83219947814942,90.67660864053786,False,-0.033371708572585965
49,DDOG,39,29,0.7435897435897436,17,22,0.7727272727272727,0.0028539180161754494,124.44999694824219,2024-11-08,118.3954998779297,118.73339092806542,False,-0.062449372250657414
19,XLY,39,26,0.6666666666666666,20,26,0.7692307692307693,-0.0014004473867084753,215.1199951171875,2024-11-08,185.28621478624092,185.02673119095041,False,-0.03300370868376953
17,XLK,39,25,0.6410256410256411,13,17,0.7647058823529411,0.003429338343138999,237.16000366210938,2024-11-08,230.61465536351707,231.40551104364496,False,-0.04717429254757207
18,XLI,39,26,0.6666666666666666,19,25,0.76,-0.0016599321685765642,142.08999633789062,2024-11-08,135.30149673461915,135.0769054277328,False,-0.025257802307515273
42,QSR,39,30,0.7692307692307693,14,19,0.7368421052631579,-0.0009219815695236834,67.98999786376953,2024-11-08,70.39220039367676,70.32730008227557,True,-0.03873993768599094
31,AFG,39,27,0.6923076923076923,16,22,0.7272727272727273,0.0016905202891209135,138.77000427246094,2024-11-08,131.92654418945312,132.149568689079,False,-0.0392421593729281
32,ARCC,39,25,0.6410256410256411,14,20,0.7,0.001884465497084096,21.530000686645508,2024-11-08,20.94499984741211,20.984469976960987,False,-0.024844697195565632
5,VAC,39,26,0.6666666666666666,21,30,0.7,-0.0052501501161304675,95.5999984741211,2024-11-08,74.6629525861051,74.27096087691451,False,-0.0869762178906617
23,XLB,39,26,0.6666666666666666,14,20,0.7,-0.0004728166897666565,94.47000122070312,2024-11-08,94.65687699799882,94.61212164675298,True,-0.023962169738365582
51,AMD,39,27,0.6923076923076923,11,16,0.6875,-0.005601870611723252,147.9499969482422,2024-11-08,148.25160064697266,147.42111436216746,False,-0.10662402772658325
16,BFIN,39,26,0.6666666666666666,11,16,0.6875,0.0004471394321606839,12.109999656677246,2024-11-08,12.180700044631958,12.186146515933237,True,-0.07388312983775658
24,XLP,39,29,0.7435897435897436,13,19,0.6842105263157895,0.000633214386993764,80.81999969482422,2024-11-08,82.19189888000489,82.24394397287004,True,-0.018766054334231404
44,TRN,39,24,0.6153846153846154,15,22,0.6818181818181818,0.0007688851445192631,37.13999938964844,2024-11-08,33.005700225830076,33.031077818418176,False,-0.05517030092153443
12,AMZN,39,23,0.5897435897435898,17,25,0.68,-0.0036064822487950335,208.17999267578125,2024-11-08,176.7973570128972,176.15974048319632,False,-0.06206716987155584
39,CTBI,39,24,0.6153846153846154,20,30,0.6666666666666666,-0.005076423732909886,57.75,2024-11-08,59.98483403167871,59.68032559658564,True,-0.09729732479061093
9,PG,39,28,0.717948717948718,14,21,0.6666666666666666,0.0006514631582185157,167.7100067138672,2024-11-08,168.88820068359374,168.99822512419692,True,-0.031180047261603727
20,XLF,39,24,0.6153846153846154,19,29,0.6551724137931034,-0.0008038908516027894,49.189998626708984,2024-11-08,47.12288987471673,47.08500821464536,False,-0.020746834693905727
29,EA,39,28,0.717948717948718,15,23,0.6521739130434783,-0.00408275915570967,157.91000366210938,2024-11-08,140.08022511592594,139.50831129430003,False,-0.030826699886982865
41,PRU,39,24,0.6153846153846154,13,20,0.65,0.000673599226831565,121.88999938964844,2024-11-08,123.45739929199219,123.54056010070192,True,-0.028417732695842895
10,HPE,39,26,0.6666666666666666,11,17,0.6470588235294118,0.004484798213441104,22.040000915527344,2024-11-08,19.263076782226562,19.34946779456487,False,-0.04657370920984049
0,AAPL,39,28,0.717948717948718,11,17,0.6470588235294118,-0.00283549114203311,226.9600067138672,2024-11-08,228.28199920654296,227.6347076199072,True,-0.06770410343092315
45,UNP,39,29,0.7435897435897436,9,14,0.6428571428571429,0.003733322243038553,241.49000549316406,2024-11-08,239.58570251464843,240.48015314696036,False,-0.03063424917231365
7,CMI,39,24,0.6153846153846154,14,22,0.6363636363636364,-0.0011164238739927999,356.4599914550781,2024-11-08,336.3512966918945,335.97578607421923,False,-0.08840229938373555
46,WSO,39,27,0.6923076923076923,12,19,0.631578947368421,-0.0014078241253562516,528.5,2024-11-08,499.4068298339844,498.7037528505764,False,-0.05053749457959894
43,SUN,39,29,0.7435897435897436,8,13,0.6153846153846154,0.001862422726509892,52.58000183105469,2024-11-08,146729.8994278498,147003.17252720273,True,-0.03806094052763597
36,BAX,39,28,0.717948717948718,12,20,0.6,0.0007113895612604582,34.63999938964844,2024-11-08,36.56801223754883,36.59402633973067,True,-0.08748151220214322
11,CAT,39,23,0.5897435897435898,12,22,0.5454545454545454,0.005694087581478656,393.3699951171875,2024-11-08,381.6104172965839,383.7833404346752,False,-0.05133656180807166
40,EMR,39,23,0.5897435897435898,13,24,0.5416666666666666,-0.0011903438218876408,127.26000213623047,2024-11-08,120.31410194396973,120.17088679603476,False,-0.04130998968444487
48,SYY,39,22,0.5641025641025641,10,19,0.5263157894736842,0.0009377641796012711,77.38999938964844,2024-11-08,76.03549980163574,76.1068031697278,False,-0.05086616285810511
34,AVNT,39,20,0.5128205128205128,11,21,0.5238095238095238,-0.0019800970432307134,51.560001373291016,2024-11-08,48.65687561035156,48.56053027482266,False,-0.09225893212996417
30,ADBE,39,27,0.6923076923076923,7,14,0.5,0.0033005624791058816,494.67999267578125,2024-11-08,523.3553466796875,525.0827137001779,True,-0.03759726506619644
37,CPB,39,24,0.6153846153846154,8,18,0.4444444444444444,0.00019481377864584198,45.59000015258789,2024-11-08,47.30068588256836,47.309900707917684,True,-0.03694047688025738
13,KO,39,25,0.6410256410256411,7,17,0.4117647058823529,0.0026858863623320677,63.91999816894531,2024-11-08,64.81622314453125,64.99031215433301,True,-0.024228088794472302
38,CNI,39,22,0.5641025641025641,6,16,0.375,0.0003459897308504323,110.80000305175781,2024-11-08,115.13648223876953,115.17631827927039,True,-0.04173622716320614
25,XLV,39,20,0.5128205128205128,5,16,0.3125,0.0020515806143116574,150.17999267578125,2024-11-08,150.36773681640625,150.67622835027672,True,-0.01716797200815814
