,ticker,total_predictions,total_correct_predicions,overall_success_rate,predicted_higher_correct,total_predicted_higher,predicted_higher_success_rate,adj_sell_vs_pred_pct,latest_close,last_date_for_prediction,prediction_price,adj_prediction_price,adj_prediction_higher,stop_loss,adj_prediction_price_w_high_inc
4,SBUX,48,36,0.75,17,17,1.0,0.0013316375621814675,92.5999984741211,2025-01-08,99.70334130855281,99.83611002291427,True,-0.04847312736086823,100.69388598341304
50,PLTR,48,29,0.6041666666666666,27,29,0.9310344827586207,0.0051868118114709386,68.2300033569336,2025-01-08,71.14533233642578,71.51434978651938,True,-0.126573469255354,72.75615578607572
27,XLC,48,37,0.7708333333333334,30,33,0.9090909090909091,0.0008479829705721131,97.26000213623047,2025-01-08,107.9639379959006,108.05548957675701,True,-0.021899546584122128,108.531633719277
14,CSCO,48,35,0.7291666666666666,28,33,0.8484848484848485,0.002095157864528402,59.20000076293945,2025-01-08,58.47110027313232,58.5936064587172,False,-0.028269180837098864,58.8962095723762
19,XLY,48,34,0.7083333333333334,27,32,0.84375,-0.002033619314692551,223.00999450683594,2025-01-08,250.1934052069581,249.6846070657205,True,-0.03300370868376953,250.921254963049
5,VAC,48,40,0.8333333333333334,25,30,0.8333333333333334,0.010445395028037045,85.56999969482422,2025-01-08,93.15610038757325,94.12915265539291,True,-0.0869762178906617,95.29403069105186
20,XLF,48,36,0.75,24,29,0.8275862068965517,-0.001268745737757687,48.4900016784668,2025-01-08,48.43718719482422,48.375732720021816,False,-0.020746834693905727,48.62132687449868
3,PAYX,48,39,0.8125,23,28,0.8214285714285714,0.00010487069191451965,140.25,2025-01-08,141.762400970459,141.77726769153622,True,-0.0651384557984556,142.8567913591945
6,KR,48,30,0.625,26,32,0.8125,0.0004648548910892868,58.900001525878906,2025-01-08,59.79320003509522,59.820995196585415,True,-0.07142857671735973,60.40283562619688
35,AXS,48,36,0.75,25,31,0.8064516129032258,-0.0008751361498375614,87.91000366210938,2025-01-08,87.88700149536133,87.81008840325191,False,-0.039367304601585225,88.4783768658789
12,AMZN,48,33,0.6875,25,31,0.8064516129032258,0.0030696073353686406,222.1300048828125,2025-01-08,222.2960529998328,222.97841459474458,True,-0.050019966759404934,224.87478047604682
29,EA,48,36,0.75,25,31,0.8064516129032258,-0.00292085212297834,144.1999969482422,2025-01-08,166.024985246262,165.540050815638,True,-0.030826699886982865,166.76002056272213
32,ARCC,48,34,0.7083333333333334,24,30,0.8,-0.0005256565365000438,22.09000015258789,2025-01-08,21.550600185394288,21.539271971541336,False,-0.019551733945504038,21.63466964346421
28,NVDA,48,36,0.75,27,34,0.7941176470588235,-0.000520383724244441,140.11000061035156,2025-01-08,141.90090502079616,141.82706209936777,True,-0.0883448673890183,143.86313424472814
39,CTBI,48,38,0.7916666666666666,23,29,0.7931034482758621,0.0005657990348998931,51.11000061035156,2025-01-08,55.307300033569334,55.33859285055125,True,-0.12646283165023675,56.03528694889789
1,GOOG,48,35,0.7291666666666666,29,37,0.7837837837837838,0.0036774739732334553,195.38999938964844,2025-01-08,175.78460037231446,176.4310436650789,False,-0.056104437427371034,177.98888508264469
43,SUN,48,36,0.75,14,18,0.7777777777777778,-0.002354261761708712,52.459999084472656,2025-01-08,53.594000244140624,53.467825938708835,True,-0.037484898234376327,54.07027127448563
24,XLP,48,39,0.8125,16,21,0.7619047619047619,-0.0008428535617554732,77.37999725341797,2025-01-08,81.57627868652344,81.50752182947774,True,-0.012485953873453973,81.90075780998114
7,CMI,48,33,0.6875,22,29,0.7586206896551724,0.0006107522814348029,359.75,2025-01-08,365.25199798583986,365.47507647690827,True,-0.08840229938373555,368.31298415500106
0,AAPL,48,31,0.6458333333333334,25,33,0.7575757575757576,-0.004277685591826735,242.6999969482422,2025-01-08,244.88006323394006,243.83254331571862,True,-0.03581750565473862,245.18857802662995
47,NSC,48,35,0.7291666666666666,21,28,0.75,0.000447542524076235,236.91000366210938,2025-01-08,253.21218446250975,253.32550768267095,True,-0.03994599502021291,256.03199120610753
18,XLI,48,34,0.7083333333333334,19,26,0.7307692307692307,0.0034344397369823255,132.82000732421875,2025-01-08,138.83879898071288,139.31563246896715,True,-0.025257802307515273,140.00425504683847
8,MA,48,29,0.6041666666666666,21,29,0.7241379310344828,0.0015265888616718807,516.4000244140625,2025-01-08,511.8267056274414,512.6080545753584,False,-0.02163903485923141,515.676062128433
2,DRI,48,31,0.6458333333333334,26,36,0.7222222222222222,-0.003033018955392199,183.72999572753906,2025-01-08,176.23479843139648,175.70027494715433,False,-0.03732190816666215,177.487532354814
44,TRN,48,31,0.6458333333333334,18,25,0.72,0.002338251697761354,34.81999969482422,2025-01-08,35.840599822998044,35.92440416638295,True,-0.04521928326918005,36.35757094054588
17,XLK,48,33,0.6875,25,35,0.7142857142857143,0.0007321659421401246,233.8800048828125,2025-01-08,244.95612767273667,245.1354762067372,True,-0.04717429254757207,246.44195617254118
9,PG,48,36,0.75,15,21,0.7142857142857143,0.000811716283891757,162.10000610351562,2025-01-08,167.8531999206543,167.98944909633323,True,-0.023058709247684793,169.06800698197227
16,BFIN,48,35,0.7291666666666666,22,31,0.7096774193548387,-0.0028622870235388742,11.920000076293945,2025-01-08,12.321239292928615,12.285972369586549,True,-0.07388312983775658,12.416763253618115
45,UNP,48,32,0.6666666666666666,15,22,0.6818181818181818,0.0006043726703271338,231.82000732421875,2025-01-08,232.41261388869336,232.55307772076696,True,-0.03063424917231365,234.50587421455293
49,DDOG,48,32,0.6666666666666666,22,33,0.6666666666666666,-0.00569100976433019,141.8800048828125,2025-01-08,145.91180061340333,145.08141513138145,True,-0.0668106300151502,146.92147609414698
26,XLE,48,35,0.7291666666666666,12,18,0.6666666666666666,0.0003696825434688601,88.02999877929688,2025-01-08,90.19745534900134,90.2307997737092,True,-0.033371708572585965,90.872361886321
48,SYY,48,35,0.7291666666666666,17,26,0.6538461538461539,0.0002869013967100693,74.8499984741211,2025-01-08,77.58239959716796,77.60465809597252,True,-0.0412627937776758,78.24116664511972
41,PRU,48,31,0.6458333333333334,15,23,0.6521739130434783,0.000732582617738143,118.43000030517578,2025-01-08,122.35459922790527,122.44423408049995,True,-0.030252679910651302,123.4947068441548
46,WSO,48,33,0.6875,15,23,0.6521739130434783,0.00157437072706812,466.57000732421875,2025-01-08,514.3685003662109,515.1783070761135,True,-0.03034170557543835,520.6586212920711
11,CAT,48,32,0.6666666666666666,9,14,0.6428571428571429,0.0007188216223197054,361.07000732421875,2025-01-08,383.30874162729725,383.5842722388031,True,-0.03332689930263273,386.88571761281344
33,ADP,48,31,0.6458333333333334,19,30,0.6333333333333333,-0.0017992853839865384,291.8900146484375,2025-01-08,297.22880187988284,296.6940024409605,True,-0.028442416658233556,298.3643135112631
10,HPE,48,27,0.5625,20,32,0.625,-0.00015569986042389796,22.030000686645508,2025-01-08,22.253735431967407,22.25027052846674,True,-0.06634023772052976,22.513358001417913
15,JCI,48,31,0.6458333333333334,18,29,0.6206896551724138,0.0014819740593377964,80.04000091552734,2025-01-08,81.62109916687012,81.74205951853006,True,-0.05667967358065304,82.41446775061978
31,AFG,48,33,0.6875,18,29,0.6206896551724138,-0.00030542832191952186,132.25999450683594,2025-01-08,136.67111359319003,136.6293703643104,True,-0.0392421593729281,137.75928702046014
40,EMR,48,29,0.6041666666666666,16,26,0.6153846153846154,-0.00015551274333345773,120.30000305175781,2025-01-08,121.14190750859706,121.12306839822774,True,-0.0340509296419341,122.09617511057147
22,XLU,48,32,0.6666666666666666,12,20,0.6,-0.002474167431454464,76.01000213623047,2025-01-08,79.4555788260563,79.2589924206775,True,-0.02315934976720643,79.72551613542629
21,XLRE,48,28,0.5833333333333334,5,9,0.5555555555555556,0.006836877033801479,40.150001525878906,2025-01-08,42.48441826051549,42.77487900401522,True,-0.021807612205038265,43.02249185771204
42,QSR,48,32,0.6666666666666666,7,14,0.5,0.0029071579088000826,62.540000915527344,2025-01-08,68.27060050964356,68.46907392585369,True,-0.03873993768599094,69.0812083864201
25,XLV,48,34,0.7083333333333334,9,18,0.5,0.0003503242950610583,140.42999267578125,2025-01-08,145.1155548095703,145.16639231401138,True,-0.01716797200815814,145.90922032198247
30,ADBE,48,26,0.5416666666666666,10,21,0.47619047619047616,0.01195326819368045,419.5799865722656,2025-01-08,492.33509674072263,498.2201101932261,True,-0.04392487036519605,503.3629391208949
38,CNI,48,29,0.6041666666666666,8,19,0.42105263157894735,0.004373107508578617,102.4000015258789,2025-01-08,105.47313083189917,105.93437617229345,True,-0.04173622716320614,106.79920774572165
34,AVNT,48,22,0.4583333333333333,10,25,0.4,0.005155226580058521,38.790000915527344,2025-01-08,50.04745864868164,50.305464637771706,True,-0.04738101249083324,50.94569830331599
51,AMD,48,34,0.7083333333333334,6,18,0.3333333333333333,0.007237469639537269,121.83999633789062,2025-01-08,136.31367990384598,137.30024602360365,True,-0.06502731476014229,139.39204341132805
36,BAX,48,33,0.6875,5,16,0.3125,0.002405363727485706,29.59000015258789,2025-01-08,32.679100322723386,32.75770544528653,True,-0.04000001441775344,33.16132660722635
